emp_no,first_name,last_name,birth_date,from_date,to_date,title
71243,Kinh,Buchter,1/10/65,3/29/86,1/1/99,Engineer
71334,Cathie,Peck,1/15/65,4/12/93,3/4/01,Engineer
71685,Kristinn,Olano,1/1/65,10/3/89,1/1/99,Senior Engineer
71710,Hitomi,Takanami,1/31/65,12/15/97,1/1/99,Assistant Engineer
71745,Adil,Laventhal,1/2/65,5/13/92,1/1/99,Assistant Engineer
72190,Sajjad,Waeselynck,1/19/65,9/13/99,1/1/99,Engineer
72194,Feiyu,Siepmann,1/26/65,10/1/98,1/1/99,Senior Engineer
72232,Naraig,Veldwijk,1/10/65,7/10/89,1/1/99,Senior Engineer
72640,Honglan,Hutton,1/24/65,10/4/93,1/1/99,Engineer
72918,Takahira,Szilard,1/22/65,1/16/88,1/1/99,Senior Staff
73076,Froduald,Feldhoffer,1/22/65,3/16/93,1/1/99,Senior Engineer
73233,Shigeo,Merey,1/15/65,7/30/85,1/1/99,Senior Engineer
73516,Qingxiang,Badache,1/14/65,6/25/89,1/1/99,Engineer
73743,Anneke,Bernardeschi,1/15/65,11/1/99,10/15/00,Engineer
73794,Aiichiro,Castellani,1/26/65,8/26/85,8/19/87,Engineer
73903,Bartek,Cappello,1/29/65,7/28/88,1/2/93,Engineer
74200,Holgard,Weiland,1/16/65,9/24/91,1/1/99,Senior Engineer
74237,Jaihie,Vilarrasa,1/29/65,3/3/92,6/20/01,Assistant Engineer
74344,Hiroyasu,Provine,2/1/65,11/25/94,1/1/99,Engineer
74598,Kolar,Garigliano,1/7/65,5/10/92,3/7/99,Senior Staff
74668,Masako,Bonifati,1/1/65,4/9/87,1/1/99,Senior Staff
74800,Yuuichi,Conde,1/25/65,3/8/89,1/1/99,Assistant Engineer
75113,Zissis,Birch,1/22/65,8/19/94,7/15/00,Engineer
75354,Shuky,Jakobus,1/11/65,6/16/86,1/1/99,Engineer
75420,Clyde,Vrecion,1/9/65,7/3/97,9/14/00,Engineer
75703,Kyoichi,Erman,1/8/65,7/25/96,1/1/99,Engineer
75760,Jahangir,Radhakrishnan,1/21/65,4/19/91,12/29/93,Technique Leader
75888,Marsal,Otillio,1/31/65,1/23/94,9/16/99,Staff
76178,Chiradeep,Meriste,1/19/65,5/23/88,6/25/97,Senior Engineer
76189,Kolar,Hinsberger,1/2/65,10/20/86,1/1/99,Engineer
76201,Arif,Preusig,1/10/65,4/2/92,1/1/99,Senior Engineer
76417,Parviz,Duclos,1/31/65,12/27/89,12/31/93,Senior Engineer
76598,Keung,Ferriere,1/24/65,5/13/91,10/8/95,Engineer
76640,Tristan,Mitsuhashi,1/2/65,7/13/94,1/1/99,Engineer
76847,Mariusz,Weiland,1/20/65,8/16/89,11/9/94,Senior Engineer
77030,Faiza,Garnham,1/2/65,3/2/86,1/1/99,Technique Leader
77157,Tesuro,Nicolson,1/14/65,6/1/96,10/20/99,Staff
77303,Xinglin,Birge,1/18/65,3/5/92,1/1/99,Senior Staff
77647,Niranjan,Schaaf,1/7/65,11/5/89,1/1/99,Technique Leader
77815,Ronghao,Picaronny,1/21/65,6/9/93,1/1/99,Assistant Engineer
78086,Fabrizio,Anick,1/20/65,12/16/97,5/2/98,Staff
78106,Ashish,Ratnaker,1/9/65,11/10/86,1/17/00,Senior Staff
78171,Teiji,Hinsberger,1/12/65,1/25/97,5/18/02,Senior Staff
78363,Susumu,Fritzsche,1/3/65,6/23/98,1/1/99,Engineer
78469,Leucio,Cappelli,1/28/65,8/22/97,1/1/99,Staff
78871,Conor,Ghandeharizadeh,1/15/65,5/25/85,1/1/99,Senior Engineer
79043,Katsuo,Hockney,1/24/65,11/7/99,1/1/99,Technique Leader
79171,Guiseppe,Ellozy,1/19/65,1/12/91,1/1/99,Senior Engineer
79190,Tsuneo,Servi,1/18/65,6/30/99,6/2/01,Staff
79239,Denny,Griswold,1/7/65,5/18/89,11/19/01,Senior Engineer
79310,Jeong,Cunliffe,1/24/65,10/27/96,1/1/99,Senior Staff
79606,Arnd,Peir,1/3/65,12/11/86,1/1/99,Senior Engineer
79640,Marl,Litzkow,1/26/65,10/12/91,10/22/93,Staff
79722,Make,Remmers,1/17/65,8/7/97,8/8/98,Staff
79763,Sanjoy,Barreiro,1/20/65,4/9/88,1/1/99,Senior Staff
79895,Fei,Murtagh,1/30/65,1/19/86,1/1/99,Senior Staff
80067,Kazuhisa,Weiland,1/19/65,11/9/85,1/1/99,Senior Staff
80203,Shakhar,Baik,1/22/65,12/1/93,1/1/99,Staff
80432,Stella,Figueira,1/17/65,3/14/90,1/1/99,Senior Staff
80656,Kwan,Gide,1/9/65,6/24/98,7/1/01,Engineer
80731,Shaowen,Eldridge,1/25/65,12/5/87,1/1/99,Senior Staff
80745,Rimli,Huttel,1/9/65,12/14/89,11/29/96,Staff
80850,Koldo,Luit,2/1/65,4/16/95,1/1/99,Senior Engineer
80889,Shigeo,Linnainmaa,1/7/65,7/30/85,1/1/99,Senior Engineer
80948,Harjit,Bardell,1/27/65,5/24/91,1/1/99,Engineer
81105,Jaewon,Boissier,1/14/65,5/24/92,1/1/99,Engineer
81162,Marco,Klerer,1/28/65,11/1/93,2/28/95,Engineer
81545,Larisa,Kornyak,1/13/65,3/10/96,2/7/00,Technique Leader
81619,Gen,Aloisi,1/12/65,3/12/85,7/25/02,Engineer
81644,Divine,Ghandeharizadeh,1/5/65,11/28/97,1/1/99,Staff
81995,Sreekrishna,Brender,1/10/65,3/22/90,1/1/99,Engineer
82069,Yechezkel,Perfilyeva,1/20/65,11/3/94,1/1/99,Engineer
82098,Poornachandra,Wilharm,1/25/65,4/20/91,1/1/99,Engineer
82351,Stevo,Thambidurai,1/26/65,10/27/89,1/1/99,Senior Staff
82511,Uwe,Koblick,1/27/65,4/4/98,1/1/99,Engineer
82919,Shigeu,Claffy,1/5/65,2/3/98,12/19/98,Engineer
82928,Alselm,Rikino,1/27/65,11/16/90,1/1/99,Engineer
83280,Francesca,Ellozy,1/7/65,8/8/99,1/1/99,Senior Engineer
83289,Shigeichiro,Engelmann,1/9/65,1/9/94,1/1/99,Senior Engineer
83509,Breannda,Collavizza,1/4/65,10/12/89,1/1/99,Engineer
83544,Leaf,Baak,1/18/65,9/5/94,1/1/99,Senior Staff
83714,Ohad,Kilgore,1/27/65,7/1/90,10/10/00,Senior Engineer
83805,Manohar,Harllee,1/23/65,3/11/87,1/1/99,Senior Engineer
83922,Shunichi,Solovay,1/10/65,6/7/86,11/18/98,Engineer
83941,Zsolt,Hagimont,1/11/65,10/8/96,1/1/99,Senior Staff
84029,Babette,Eugenio,1/27/65,9/21/97,1/1/99,Staff
84163,Zejun,Roisin,1/11/65,5/26/97,1/16/02,Senior Staff
84179,Shuichi,Nanard,1/25/65,3/14/89,1/1/99,Senior Engineer
84236,Eberhardt,Barriga,1/18/65,6/4/87,1/1/99,Staff
84256,Denny,Cheshire,1/25/65,11/23/89,8/8/92,Staff
84315,Kristina,Baumann,1/23/65,9/26/96,1/1/99,Assistant Engineer
84451,Shiv,Aumann,1/20/65,6/14/98,1/1/99,Senior Engineer
84494,Janalee,Loncour,1/2/65,4/12/86,9/4/87,Staff
84508,Tommaso,Vidya,1/17/65,5/2/98,1/1/99,Engineer
84840,Sverrir,Neimat,1/14/65,11/3/96,1/1/99,Staff
84922,Parke,Unno,1/22/65,7/1/96,1/1/99,Engineer
84942,Shin,Fujisaki,1/15/65,2/23/88,1/1/99,Technique Leader
85216,Ferdinand,Rosiles,1/18/65,7/8/97,1/1/99,Senior Staff
85288,Younwoo,Luders,1/6/65,3/31/95,12/8/98,Engineer
85414,Chiradeep,Callaway,1/14/65,7/30/99,1/1/99,Staff
85445,Yongdong,Pollock,1/9/65,3/17/98,1/1/99,Staff
85702,Udi,Merks,1/4/65,8/15/97,1/1/99,Engineer
85874,Pasqua,Taubman,1/30/65,6/23/86,1/1/99,Senior Staff
86213,Kristine,Clemencon,1/28/65,4/22/90,6/1/93,Senior Staff
86324,Maia,Berstel,1/14/65,7/17/88,9/29/97,Senior Engineer
86354,Ronghao,Segond,1/27/65,9/13/93,1/1/99,Senior Engineer
86422,Jaewon,Thummel,2/1/65,9/14/85,1/1/99,Senior Staff
86546,Oldrich,Woycyznski,1/9/65,5/15/85,1/1/99,Engineer
86655,Zhenhua,Lorys,1/1/65,8/21/95,1/1/99,Engineer
86672,JoAnne,Anido,1/15/65,9/15/95,1/1/99,Staff
87129,Keung,Neiman,1/16/65,4/13/97,1/1/99,Staff
87353,Quingbo,Coombs,1/7/65,1/17/99,1/1/99,Senior Engineer
87458,Mikhail,Gimbel,1/26/65,12/22/93,4/29/99,Senior Staff
87714,Khun,Janetzko,1/16/65,9/13/89,1/1/99,Assistant Engineer
87729,Yongmin,Roccetti,1/24/65,12/10/86,1/1/99,Senior Staff
87783,Conor,Thorensen,1/26/65,2/24/88,1/1/99,Senior Engineer
88103,Goo,Bresenham,1/9/65,1/31/99,1/1/99,Senior Staff
88357,Manohar,Karcich,1/5/65,8/7/98,8/22/00,Staff
88411,Lena,Cannane,1/31/65,1/28/00,1/1/99,Engineer
88422,Jungsoon,Birsak,1/28/65,4/3/85,1/1/99,Technique Leader
88647,Vasiliy,Ratnaker,1/10/65,8/9/95,1/1/99,Engineer
88958,Vojin,Coombs,1/22/65,7/23/95,1/1/99,Senior Staff
88965,Mang,Hedayat,1/20/65,5/22/95,1/1/99,Engineer
89048,Otmar,Birjandi,1/24/65,3/23/85,1/1/99,Engineer
89090,Tetsushi,Theuretzbacher,1/26/65,2/1/90,1/1/99,Staff
89161,Conal,Yetto,1/7/65,1/12/91,1/1/99,Senior Staff
89207,Along,Erol,1/15/65,10/16/92,1/1/99,Senior Staff
89346,Mansur,Comyn,1/13/65,8/31/99,1/1/99,Engineer
89487,Kazuhira,Seiwald,1/29/65,3/25/95,3/24/99,Engineer
89590,Guther,Rothenberg,1/27/65,8/8/91,1/1/99,Senior Staff
89664,Pranjal,Rossi,1/20/65,7/7/98,1/1/99,Staff
89680,Aiman,Mawatari,1/27/65,5/1/88,1/1/99,Engineer
89806,Xiadong,Shinomoto,1/27/65,5/24/97,1/1/99,Engineer
89922,Alexius,Ibel,1/26/65,4/24/88,1/1/99,Engineer
89941,Arnould,Weedman,1/23/65,7/28/89,1/1/99,Senior Staff
90077,Vivian,Guerreiro,1/24/65,7/8/91,1/1/99,Assistant Engineer
90084,Renny,Bale,1/1/65,11/22/89,1/1/99,Engineer
90116,Brigham,Luiz,1/11/65,4/10/90,6/10/95,Assistant Engineer
90211,Bader,Denis,1/15/65,10/6/97,1/1/99,Engineer
90292,Koichi,Assaf,1/9/65,5/26/90,1/1/99,Engineer
90366,Magy,Eiron,1/26/65,8/3/98,3/3/02,Senior Staff
90518,Fumiko,Chepyzhov,1/24/65,1/28/88,1/1/99,Senior Staff
90614,Yonghoan,Trogemann,1/29/65,9/23/88,1/1/99,Assistant Engineer
90692,Rajmohan,DasSarma,1/3/65,9/14/85,1/1/99,Senior Staff
91172,Kazuhisa,Melter,1/19/65,7/16/87,1/1/99,Senior Staff
91182,Lucien,Schwartzburd,1/4/65,8/25/88,1/1/99,Engineer
91229,Yahiko,Hebden,1/1/65,10/3/96,1/1/99,Engineer
91256,Gunilla,Milicic,1/13/65,1/9/98,1/1/99,Staff
91308,Remmert,Plumb,1/23/65,6/14/86,12/8/95,Engineer
91333,Lobel,Stafford,1/27/65,11/29/98,1/1/99,Staff
91415,Jamaludin,Nilsson,1/4/65,1/15/87,1/1/99,Senior Staff
91462,Siamak,Janocha,1/11/65,8/26/97,3/21/98,Engineer
91648,Dmitry,Msuda,1/29/65,10/22/88,1/1/99,Senior Staff
91934,Nikolaus,Swen,1/3/65,1/28/00,7/3/02,Engineer
91973,Jianwen,Jakobus,1/25/65,8/24/98,2/12/01,Senior Engineer
92438,Aria,Kilgore,1/4/65,2/27/89,4/11/92,Engineer
92443,Girolamo,Bellmore,1/1/65,12/4/96,4/27/00,Senior Staff
92454,Visit,McFarlan,1/24/65,10/22/87,1/1/99,Engineer
92577,Zhanqiu,Farrow,1/6/65,1/10/99,1/1/99,Assistant Engineer
92598,Ranga,Merro,1/18/65,5/11/96,1/1/99,Assistant Engineer
92685,Mang,Atchley,1/26/65,6/7/95,1/1/99,Senior Staff
92841,Claude,Candan,1/22/65,8/4/93,1/1/99,Senior Staff
92846,Anyuan,Kropatsch,1/11/65,9/5/86,1/1/99,Senior Staff
92920,Huei,Hutter,1/20/65,1/28/93,1/1/99,Engineer
93040,Jaques,Kabayashi,1/19/65,3/13/92,1/1/99,Senior Engineer
93220,Richara,Walston,1/11/65,8/27/96,1/1/99,Senior Engineer
93278,Magdalena,Penn,2/1/65,1/4/97,1/1/99,Engineer
93549,Arie,Coullard,2/1/65,4/15/91,3/28/00,Staff
93600,Kristina,Neimat,1/13/65,4/18/88,1/1/99,Technique Leader
93794,Rimli,Werthner,1/23/65,5/27/94,12/30/00,Engineer
94045,Gift,Brender,1/19/65,10/31/96,1/2/00,Senior Engineer
94131,Bernardo,Vasanthakumar,1/29/65,5/1/97,7/20/97,Staff
94331,Ramzi,Cronau,1/26/65,9/3/99,1/1/99,Technique Leader
94416,Aran,Cesareni,1/1/65,2/10/90,11/20/01,Senior Staff
94442,Bilhanan,Marrakchi,1/28/65,2/3/98,10/12/00,Staff
94690,Kazuyasu,Sridhar,1/30/65,12/22/99,12/3/01,Staff
94761,Hitofumi,Zaccaria,1/27/65,11/22/88,1/1/99,Engineer
94787,Shigenori,Stanfel,1/22/65,4/25/93,12/11/99,Staff
94944,Heping,Matheson,1/13/65,6/24/88,1/1/99,Engineer
95181,Yishai,Cappelli,1/28/65,1/30/97,1/1/99,Staff
95286,Kristin,Guerreiro,1/18/65,8/23/89,1/1/99,Engineer
95314,Rasiah,Koblick,1/22/65,8/21/91,1/1/99,Senior Staff
95406,Alair,Lyonns,1/8/65,7/12/97,1/1/99,Engineer
95416,Gianluca,Ramaiah,1/13/65,11/29/93,1/1/99,Engineer
95509,Kristinn,Loncour,1/11/65,2/8/95,1/1/99,Engineer
95692,Abdulah,Hofstetter,1/20/65,11/24/99,5/24/00,Engineer
95920,Nobuyoshi,Hegner,1/19/65,9/7/94,1/1/99,Senior Staff
96100,Pranay,Rebaine,1/11/65,2/1/98,12/31/00,Senior Engineer
96571,Kokou,Garrabrants,1/13/65,11/5/97,1/1/99,Senior Engineer
96579,Mohan,Tasistro,1/18/65,2/10/96,1/1/99,Engineer
96767,Arumugam,Vecchio,1/7/65,8/14/85,1/1/99,Engineer
97018,Jeanna,Chinen,1/9/65,1/1/89,1/1/99,Engineer
97092,Anwar,Riexinger,1/22/65,12/31/91,1/9/00,Senior Engineer
97623,Haldon,Janetzko,1/25/65,9/11/90,1/1/99,Senior Staff
97661,Avishai,Hegner,1/31/65,5/8/93,1/1/99,Senior Staff
97697,Moie,Karunanithi,1/10/65,2/7/90,11/2/94,Engineer
98288,Sumali,Huttel,1/12/65,9/12/89,1/1/99,Senior Staff
98306,Ziya,Kadhim,1/16/65,11/2/95,6/24/99,Senior Engineer
98514,Giao,Junot,1/8/65,7/1/99,2/25/02,Staff
98639,Florina,Assaf,1/29/65,5/18/96,1/1/99,Staff
99057,Shugo,Reeken,1/30/65,6/21/99,1/1/99,Staff
99373,Xiaobin,Christianini,1/13/65,12/25/85,1/1/99,Senior Staff
99377,Carrsten,Francisci,1/18/65,6/16/91,1/1/99,Senior Engineer
99590,Dhritiman,Anily,1/24/65,12/16/98,1/1/99,Staff
99654,Mahendra,Motley,1/30/65,9/28/85,1/1/99,Senior Staff
100865,Hisao,Peral,1/19/65,10/3/90,1/1/99,Engineer
100877,Kazuhide,Harnett,1/13/65,2/2/95,2/13/99,Engineer
100916,Heejo,Aamodt,1/18/65,4/22/92,1/1/99,Engineer
101063,Nectarios,Munos,1/8/65,8/31/94,8/14/95,Senior Engineer
101487,Abdelaziz,Sury,1/14/65,1/31/91,1/1/99,Senior Staff
101647,Mori,Homond,1/22/65,5/10/94,1/1/99,Senior Staff
101902,Mantis,Millington,1/14/65,3/18/91,1/1/99,Senior Staff
102620,Adin,Templeman,1/3/65,12/10/97,8/12/99,Engineer
103166,Waiman,Dalton,1/9/65,5/25/90,2/9/02,Senior Engineer
103172,Doowon,Highland,1/5/65,3/8/88,12/28/89,Engineer
103196,Djenana,Albarhamtoshy,1/16/65,7/16/88,1/1/99,Staff
103310,Visit,Swen,1/7/65,10/2/95,1/1/99,Senior Staff
103316,Susanne,Peternell,1/3/65,7/27/94,1/1/99,Engineer
103342,Beshir,Hellwagner,1/3/65,2/3/98,1/1/99,Engineer
103756,Heping,Halloran,1/31/65,4/8/92,1/1/99,Engineer
104133,Pranjal,Zyda,1/31/65,7/3/91,1/1/99,Senior Staff
104845,Werner,Lodder,1/29/65,6/17/92,1/1/99,Senior Staff
104962,Zongyan,Auyong,1/4/65,11/2/87,12/22/91,Engineer
104988,Parviz,Litzler,1/7/65,8/8/92,1/1/99,Engineer
105191,Jaber,Kleiser,1/1/65,12/13/86,9/22/87,Engineer
105342,Kwun,Reeker,1/1/65,7/29/99,1/1/99,Technique Leader
105356,Diederik,Matzov,1/29/65,5/12/88,3/8/95,Senior Engineer
105432,Mohamadou,Stafford,1/8/65,9/12/95,1/1/99,Engineer
105520,Haldun,Lienhardt,1/1/65,1/29/87,1/1/99,Senior Staff
105589,Yechiam,Egerstedt,1/28/65,12/31/95,7/18/99,Engineer
105731,Sachem,Cromarty,1/15/65,8/20/90,1/1/99,Assistant Engineer
105936,Vidar,Thibadeau,1/23/65,3/2/95,9/15/99,Staff
106096,Naftali,Schurmann,1/14/65,12/2/92,1/1/99,Engineer
106242,Nevio,Thisen,2/1/65,3/25/88,1/1/99,Senior Staff
106514,Otilia,Speek,1/4/65,7/30/88,11/7/92,Senior Engineer
106695,Lijie,Garrabrants,1/31/65,10/2/85,10/26/88,Senior Staff
106710,Babette,Anandan,1/31/65,11/22/86,1/1/99,Staff
106958,Horward,Begiun,1/24/65,11/6/85,5/22/02,Engineer
107486,Siamak,Luiz,1/23/65,2/11/87,1/1/99,Senior Engineer
107737,Fabrizio,Chleq,1/23/65,7/31/99,1/1/99,Senior Engineer
107792,Shahab,Crooks,1/13/65,3/18/92,1/1/99,Senior Staff
107828,Ramya,Walston,1/26/65,2/3/89,1/1/99,Staff
108091,Hisao,Ghemri,1/9/65,11/14/85,1/1/99,Senior Staff
108198,Randi,Samarati,1/24/65,10/20/92,1/1/99,Senior Staff
108316,Shai,Stellhorn,1/2/65,5/21/92,1/1/99,Senior Engineer
108988,Oksana,Baek,1/19/65,7/20/89,1/1/99,Senior Staff
109062,Jamaludin,Kandlur,2/1/65,6/19/92,1/1/99,Senior Engineer
109211,Gor,Delgrande,1/11/65,11/7/95,6/18/02,Engineer
109252,Moty,Winter,1/15/65,4/28/91,1/1/99,Technique Leader
109278,Bangqing,Schach,1/21/65,3/22/88,1/1/99,Senior Staff
109547,Chenye,Zizka,1/4/65,2/22/86,4/21/02,Senior Staff
109552,Menkae,Etalle,1/31/65,5/21/97,1/1/99,Assistant Engineer
109553,Xiaobin,DuBourdieux,1/19/65,9/16/85,5/11/88,Staff
109598,Stamatina,Auyong,2/1/65,7/5/88,1/1/99,Senior Staff
109611,Jamaludin,Lalonde,1/8/65,7/9/94,8/24/98,Staff
109620,Mani,Cannata,1/2/65,6/21/89,1/1/99,Senior Staff
109652,Huan,Perko,1/25/65,7/31/88,3/12/99,Senior Staff
109703,Arco,Walston,1/17/65,8/16/99,1/1/99,Engineer
109741,Hatem,Fadgyas,1/11/65,11/13/91,1/1/99,Senior Engineer
109953,Godehard,Chorvat,1/26/65,4/10/88,1/1/99,Senior Staff
200052,Slavian,Cincotta,1/27/65,5/30/92,7/7/97,Senior Engineer
200176,Shahab,Luit,1/31/65,11/20/85,2/5/97,Senior Staff
200267,Chuanti,Luff,1/8/65,9/21/94,1/1/99,Senior Staff
200312,Akemi,Fujisaki,1/27/65,6/25/98,11/13/01,Senior Engineer
200363,Kirk,Quaggetto,1/10/65,6/30/87,1/1/99,Engineer
200735,Dinah,Denos,1/9/65,9/21/92,1/1/99,Staff
200789,Susumu,Camurati,1/14/65,12/15/91,1/1/99,Senior Staff
201180,Odinaldo,Bridgland,1/15/65,6/9/89,6/16/95,Assistant Engineer
201229,Alejandra,Khasidashvili,1/3/65,7/30/94,1/1/99,Staff
201708,Anneli,Perl,1/15/65,9/8/92,1/1/99,Staff
201709,Fan,Kakkad,1/1/65,2/25/88,1/1/99,Senior Staff
201739,Genta,Terekhov,1/16/65,7/21/98,1/1/99,Assistant Engineer
201801,Waiman,Genin,1/12/65,10/30/88,1/1/99,Engineer
201915,Sudharsan,DeMori,1/2/65,3/30/92,1/1/99,Engineer
202031,Annemarie,Peternell,1/23/65,3/13/94,6/5/97,Engineer
202291,Ortrun,Schmiedel,1/16/65,7/18/97,1/1/99,Engineer
202403,Gully,Perko,1/9/65,7/7/99,1/1/99,Engineer
202414,Zvonko,Murthy,1/13/65,1/7/92,1/1/99,Senior Staff
202552,Morris,Saoudi,1/5/65,11/22/91,1/1/99,Engineer
202581,Dharmaraja,Merlo,1/19/65,6/5/87,12/16/90,Staff
202826,Kerhong,Matzke,1/19/65,11/14/86,1/1/99,Engineer
202882,Isaac,Koshino,1/25/65,9/28/95,1/1/99,Senior Engineer
202950,Giordano,Pietrzykowski,1/17/65,3/26/87,1/1/99,Senior Staff
203474,Hugh,Jonsson,1/3/65,7/6/91,1/1/99,Senior Staff
203495,Zongyan,Gips,1/2/65,5/31/97,1/1/99,Technique Leader
203599,Ewing,DiGiano,1/21/65,2/1/00,1/1/99,Technique Leader
203697,Claude,Kemmerer,1/27/65,1/16/94,5/7/01,Engineer
203720,Sasan,Thimonier,1/30/65,8/21/96,1/1/99,Senior Staff
203946,Yefim,Marwedel,1/23/65,3/30/93,1/1/99,Senior Staff
204117,Jessie,Nooteboom,1/10/65,8/13/99,12/13/00,Staff
204133,Susuma,Bergere,1/22/65,2/25/96,1/1/99,Senior Staff
204246,Arve,Worfolk,1/9/65,4/1/85,1/1/99,Senior Staff
204425,Gretta,Huttel,1/3/65,10/8/90,1/1/99,Senior Engineer
204470,Hein,Lichtner,1/22/65,4/3/95,5/2/98,Staff
204471,Franziska,Maginnis,1/27/65,2/17/86,1/1/99,Engineer
204764,Susanne,Mandelberg,1/22/65,11/2/90,1/1/99,Engineer
205018,Yahiko,Awdeh,1/26/65,8/5/98,1/1/99,Engineer
205085,Moni,Kornyak,1/23/65,9/26/91,1/1/99,Technique Leader
205174,Leszek,Spinelli,1/5/65,12/10/98,1/1/99,Staff
205362,Masasuke,Makinen,1/25/65,7/2/92,6/1/97,Staff
205500,Mary,Setiz,1/4/65,1/13/89,1/1/99,Senior Engineer
205627,Stabislas,Broder,1/21/65,7/16/96,1/1/99,Engineer
205660,Kien,Barreiro,1/27/65,8/25/97,10/24/00,Staff
205699,Youjian,Yetto,1/31/65,12/7/94,1/1/99,Senior Staff
205789,Limsoon,Skafidas,1/31/65,8/10/99,1/1/99,Senior Staff
205863,Aiichiro,Kusalik,1/6/65,10/4/90,1/1/99,Senior Engineer
206372,Temple,Joslin,1/17/65,1/5/93,11/14/95,Engineer
206748,Yucai,Fabrizio,1/7/65,10/6/99,1/1/99,Staff
206836,Guadalupe,Pfau,1/12/65,3/22/93,1/1/99,Senior Staff
206865,Vasilii,Cochrane,1/28/65,9/13/91,4/23/01,Engineer
206966,Tzu,Sichman,1/21/65,11/17/87,1/1/99,Engineer
207021,Jacqueline,Akaboshi,1/20/65,12/6/97,1/1/99,Engineer
207068,Zhiguo,Ariola,1/13/65,9/7/94,1/1/99,Senior Staff
207204,Kellie,Schrooten,1/25/65,1/17/91,1/1/99,Assistant Engineer
207401,Shuji,Barbanera,1/4/65,8/10/87,1/1/99,Senior Staff
207551,Baziley,Falck,1/15/65,2/18/95,1/1/99,Assistant Engineer
207779,Chinya,Kamble,1/16/65,5/31/92,1/1/99,Senior Staff
207980,Remko,Vieth,1/7/65,11/22/90,1/1/99,Senior Staff
208147,Manu,Rothenberg,1/9/65,12/6/88,1/1/99,Engineer
208330,Shen,Flanders,1/11/65,7/3/89,1/1/99,Senior Staff
208639,Larisa,Lukaszewicz,1/27/65,10/10/89,10/30/96,Senior Staff
208653,Phillip,Schade,1/23/65,3/3/89,1/1/99,Engineer
208784,Pranjal,Juneja,1/30/65,3/21/85,1/1/99,Senior Engineer
209101,Xinyu,Edelhoff,1/5/65,10/26/97,1/1/99,Senior Engineer
209443,Krassimir,Garnier,1/19/65,1/26/98,1/1/99,Senior Staff
209456,Adhemar,Leonhardt,1/19/65,11/1/98,7/27/99,Engineer
209565,Dante,Covnot,1/9/65,5/28/89,1/1/99,Senior Staff
209681,Tianruo,Bratten,1/20/65,7/28/96,10/10/97,Senior Staff
209712,Nimmagadda,Baak,1/17/65,10/30/87,1/1/99,Assistant Engineer
209945,Roded,Veevers,1/27/65,10/23/90,1/8/96,Engineer
210017,Shalesh,Lovengreen,1/28/65,9/29/90,1/1/99,Senior Staff
210292,Lihong,Zeilberger,1/18/65,4/28/96,1/1/99,Staff
210449,Gino,Lagarias,1/19/65,6/22/97,1/1/99,Engineer
210529,Adam,Besancenot,1/29/65,9/27/90,2/4/95,Senior Staff
210610,Arco,Crouzet,1/23/65,9/3/94,9/30/00,Assistant Engineer
210752,Saniya,Stenning,1/25/65,12/10/86,1/1/99,Senior Staff
210786,Werner,Ranze,1/31/65,6/5/98,1/1/99,Staff
211569,Zhonghua,Snyers,2/1/65,10/8/88,4/23/89,Senior Staff
211858,Domenico,Ratnaker,1/8/65,3/24/85,1/1/99,Engineer
211879,Gao,Ranze,1/12/65,11/24/94,1/1/99,Engineer
211967,Anwar,Bain,1/7/65,1/22/89,1/1/99,Engineer
212074,Tomokazu,Byoun,1/11/65,7/30/96,4/8/02,Engineer
212093,Leni,Henders,1/11/65,11/19/93,1/1/99,Senior Staff
212131,Debatosh,Rajala,1/21/65,1/19/94,4/22/94,Staff
212154,Sailaja,Holburn,1/17/65,3/4/91,1/1/99,Staff
212361,Claudi,Stanfel,1/16/65,1/7/96,1/1/99,Engineer
212703,Kien,Bennis,1/2/65,1/6/93,3/14/98,Engineer
212810,Qingxiang,Swan,1/16/65,10/4/90,3/13/02,Senior Staff
213016,Yongmao,Fontan,1/22/65,7/26/93,1/1/99,Engineer
213140,Tru,Danecki,1/10/65,3/31/97,1/1/99,Staff
213384,Pranas,Narwekar,1/4/65,9/26/85,1/1/99,Engineer
213447,Armond,Perly,2/1/65,9/14/89,1/1/99,Engineer
214184,Sivanarayana,Ranka,1/11/65,10/25/99,5/3/01,Engineer
214215,Xiaoqiang,Cardazo,1/25/65,5/28/93,1/1/99,Senior Staff
214391,Rayond,Klassen,1/15/65,9/11/93,1/1/99,Senior Staff
214427,Peer,Molberg,1/29/65,11/17/96,1/1/99,Engineer
214539,Ingmar,Kohling,1/27/65,4/25/95,1/1/99,Engineer
214634,Shirish,Vickson,1/12/65,10/24/89,1/1/99,Engineer
214789,Arfst,Chepyzhov,1/28/65,2/6/89,1/1/99,Engineer
214807,Prasadram,Qiwen,1/13/65,9/4/92,11/25/97,Engineer
214866,Gopalakrishnan,Angel,2/1/65,7/5/97,1/1/99,Senior Engineer
214995,Dinkar,Hoppenstand,1/12/65,5/4/94,1/1/99,Engineer
215419,Flemming,Kroha,1/16/65,1/23/95,1/1/99,Staff
215629,Munehiro,Manders,1/15/65,5/18/87,1/1/99,Senior Staff
215746,Sven,Speer,1/8/65,7/8/99,1/1/99,Staff
215843,Pramod,Loncour,1/30/65,3/31/87,1/1/99,Senior Staff
216054,Sahrah,Angiulli,1/24/65,7/31/86,1/1/99,Senior Staff
216062,Shuichi,Anick,1/22/65,11/24/85,10/26/99,Engineer
